attempt,arm,shot,context,r_housekeeping,J,J_centered,p_generated,outcome_a,planted_kappa,synthetic_only
001,planted,0,0,-0.3171144799,-0.01622474966,-0.008268633656,0.4993385093,0,0.08,true
001,planted,1,1,-0.06628092781,-0.01929086934,-0.01677577363,0.4986579381,1,0.08,true
001,planted,2,0,-0.08399051678,-0.0233205334,-0.0153644174,0.4987708466,1,0.08,true
001,planted,3,1,-0.7101484711,-0.06102506281,-0.0585099671,0.4953192026,1,0.08,true
001,planted,4,0,0.04038649095,-0.0572225836,-0.04926646759,0.4960586826,1,0.08,true
001,planted,5,0,-2.814020981,-0.1759845927,-0.1680284767,0.4865577219,1,0.08,true
001,planted,6,0,0.4076633661,-0.1515257481,-0.1435696321,0.4885144294,1,0.08,true
001,planted,7,1,-0.4062459288,-0.1668293864,-0.1643142906,0.4868548567,1,0.08,true
001,planted,8,1,1.707728272,-0.07250865749,-0.06999356177,0.4944005151,1,0.08,true
001,planted,9,0,2.288464032,0.03468063166,0.04263674767,0.5034109398,0,0.08,true
001,planted,10,1,-0.8264889827,-0.002542265241,-2.716952339e-05,0.4999978264,1,0.08,true
001,planted,11,1,2.950361019,0.111219539,0.1137346347,0.5090987708,0,0.08,true
001,planted,12,0,0.1583723021,0.1146016165,0.1225577325,0.5098046186,0,0.08,true
001,planted,13,1,0.6146162471,0.1357117991,0.1382268948,0.5110581516,0,0.08,true
001,planted,14,1,-1.399688364,0.07220969941,0.07472479513,0.5059779836,0,0.08,true
001,planted,15,1,-0.6135053728,0.04497329102,0.04748838674,0.5037990709,1,0.08,true
001,planted,16,0,0.762849064,0.07493040085,0.08288651686,0.5066309213,1,0.08,true
001,planted,17,0,1.722663112,0.1388683669,0.1468244829,0.5117459586,1,0.08,true
001,planted,18,1,-1.772974283,0.05893208357,0.06144717929,0.5049157743,0,0.08,true
001,planted,19,0,-0.7141843791,0.02840763214,0.03636374814,0.5029090999,1,0.08,true
001,planted,20,0,2.432345324,0.1164203877,0.1243765037,0.5099501203,1,0.08,true
001,planted,21,1,-1.080638786,0.07072077427,0.07323586999,0.5058588696,0,0.08,true
001,planted,22,1,-0.4382624155,0.0517862543,0.05430135002,0.504344108,0,0.08,true
001,planted,23,0,-1.28276627,-0.0004019429055,0.007554173099,0.5006043338,0,0.08,true
001,planted,24,1,0.2955159348,0.01132045236,0.01383554808,0.5011068438,0,0.08,true
001,planted,25,0,0.785337374,0.04253476923,0.05049088524,0.5040392708,0,0.08,true
001,planted,26,1,0.4415277446,0.05949456763,0.06200966335,0.5049607731,0,0.08,true
001,planted,27,1,-0.1424365443,0.05195412032,0.05446921604,0.5043575373,1,0.08,true
001,planted,28,0,0.3366010763,0.06507939158,0.07303550758,0.5058428406,1,0.08,true
001,planted,29,0,-0.06379041786,0.06059801849,0.06855413449,0.5054843308,1,0.08,true
001,planted,30,1,-0.1682856276,0.05137795293,0.05389304865,0.5043114439,0,0.08,true
001,planted,31,1,0.9824193475,0.09395036938,0.0964654651,0.5077172372,0,0.08,true
001,planted,32,1,-1.091187233,0.03939498128,0.041910077,0.5033528062,0,0.08,true
001,planted,33,1,-0.8790605206,-0.002774785529,-0.0002596898106,0.4999792248,1,0.08,true
001,planted,34,0,0.3558194213,0.01408972716,0.02204584317,0.5017636675,1,0.08,true
001,planted,35,0,0.008688523359,0.01415349245,0.02210960845,0.5017687687,0,0.08,true
001,planted,36,1,0.5574160512,0.04116235027,0.04367744599,0.5034941957,1,0.08,true
