attempt,arm,shot,context,r_housekeeping,J,J_centered,p_generated,outcome_a,planted_kappa,synthetic_only
001b,blank_synthetic,0,1,-0.01273609802,-0.0006533452505,0.003206034017,0.5,0,0.0,true
001b,blank_synthetic,1,0,-1.813025715,-0.08835044385,-0.08462369382,0.5,0,0.0,true
001b,blank_synthetic,2,1,-1.026424791,-0.1336616806,-0.1298023013,0.5,1,0.0,true
001b,blank_synthetic,3,1,0.0123369241,-0.1296638941,-0.1258045148,0.5,1,0.0,true
001b,blank_synthetic,4,1,-1.191456578,-0.1805697065,-0.1767103272,0.5,1,0.0,true
001b,blank_synthetic,5,1,0.2146172881,-0.1649729938,-0.1611136145,0.5,0,0.0,true
001b,blank_synthetic,6,1,-0.3152040486,-0.1766286728,-0.1727692935,0.5,1,0.0,true
001b,blank_synthetic,7,0,-1.595202187,-0.2400387304,-0.2363119804,0.5,0,0.0,true
001b,blank_synthetic,8,0,0.01298081535,-0.2333004244,-0.2295736743,0.5,0,0.0,true
001b,blank_synthetic,9,1,-0.187334854,-0.2369304486,-0.2330710694,0.5,1,0.0,true
001b,blank_synthetic,10,0,-0.285655401,-0.2456192661,-0.2418925161,0.5,1,0.0,true
001b,blank_synthetic,11,1,1.199480701,-0.1667871105,-0.1629277313,0.5,1,0.0,true
001b,blank_synthetic,12,0,-0.6152268865,-0.1935709969,-0.1898442468,0.5,0,0.0,true
001b,blank_synthetic,13,0,1.038033851,-0.1279078584,-0.1241811084,0.5,0,0.0,true
001b,blank_synthetic,14,1,-2.813902873,-0.229120695,-0.2252613157,0.5,0,0.0,true
001b,blank_synthetic,15,1,-0.8266537797,-0.2576572625,-0.2537978832,0.5,1,0.0,true
001b,blank_synthetic,16,1,-0.0708190776,-0.2544017546,-0.2505423753,0.5,1,0.0,true
001b,blank_synthetic,17,0,0.5767570916,-0.2187687251,-0.2150419751,0.5,1,0.0,true
001b,blank_synthetic,18,0,1.415450523,-0.1380206737,-0.1342939237,0.5,0,0.0,true
001b,blank_synthetic,19,1,-0.09924603237,-0.1392264459,-0.1353670666,0.5,0,0.0,true
001b,blank_synthetic,20,0,-1.117620888,-0.1849135876,-0.1811868376,0.5,0,0.0,true
001b,blank_synthetic,21,0,0.01484520066,-0.1795069812,-0.1757802311,0.5,1,0.0,true
001b,blank_synthetic,22,0,0.4725534584,-0.1504934478,-0.1467666978,0.5,1,0.0,true
001b,blank_synthetic,23,1,-0.6414426137,-0.1775183929,-0.1736590137,0.5,0,0.0,true
001b,blank_synthetic,24,1,1.206568227,-0.1064511495,-0.1025917702,0.5,0,0.0,true
001b,blank_synthetic,25,1,-1.05169435,-0.1532040344,-0.1493446552,0.5,0,0.0,true
001b,blank_synthetic,26,0,-0.0629526812,-0.1525228015,-0.1487960515,0.5,0,0.0,true
001b,blank_synthetic,27,1,1.053001008,-0.09079398357,-0.0869346043,0.5,0,0.0,true
001b,blank_synthetic,28,1,-1.036007637,-0.1385519355,-0.1346925562,0.5,1,0.0,true
001b,blank_synthetic,29,0,1.270609984,-0.06611147344,-0.06238472341,0.5,0,0.0,true
001b,blank_synthetic,30,0,-0.008621052251,-0.06487865254,-0.06115190251,0.5,1,0.0,true
001b,blank_synthetic,31,0,-0.3370996568,-0.08068673189,-0.07695998187,0.5,0,0.0,true
001b,blank_synthetic,32,1,-0.6054753512,-0.1100080542,-0.1061486749,0.5,1,0.0,true
001b,blank_synthetic,33,0,0.5006661862,-0.07932984961,-0.07560309958,0.5,0,0.0,true
001b,blank_synthetic,34,1,1.479315698,0.004541156594,0.008400535861,0.5,1,0.0,true
001b,blank_synthetic,35,1,0.907020812,0.05173495071,0.05559432997,0.5,1,0.0,true
001b,blank_synthetic,36,0,0.4930630616,0.07633475685,0.08006150687,0.5,1,0.0,true
001b,blank_synthetic,37,0,0.06503916374,0.07794579483,0.08167254485,0.5,1,0.0,true
001b,blank_synthetic,38,0,1.142998926,0.1346228159,0.1383495659,0.5,1,0.0,true
001b,blank_synthetic,39,1,0.3135305272,0.1481029464,0.1519623257,0.5,1,0.0,true
001b,blank_synthetic,40,0,-1.224413737,0.0717507086,0.07547745862,0.5,0,0.0,true
001b,blank_synthetic,41,1,-1.496930231,-0.01221670735,-0.008357328083,0.5,1,0.0,true
001b,blank_synthetic,42,1,0.2146296447,-0.000464509367,0.0033948699,0.5,0,0.0,true
001b,blank_synthetic,43,0,-0.2628304267,-0.01477945481,-0.01105270479,0.5,0,0.0,true
001b,blank_synthetic,44,0,-1.177107434,-0.07697286988,-0.07324611986,0.5,0,0.0,true
001b,blank_synthetic,45,1,-0.3544851681,-0.09417886637,-0.09031948711,0.5,0,0.0,true
001b,blank_synthetic,46,0,0.7900982003,-0.04643311256,-0.04270636253,0.5,1,0.0,true
