attempt,arm,shot,context,r_housekeeping,J,J_centered,p_generated,outcome_a,planted_kappa,synthetic_only
001b,planted_synthetic_not_live,0,1,-2.162562357,-0.09937869154,-0.1012486385,0.4949375681,1,0.05,true
001b,planted_synthetic_not_live,1,1,0.5555645899,-0.07018870223,-0.07205864916,0.4963970675,0,0.05,true
001b,planted_synthetic_not_live,2,1,0.353523891,-0.05127897097,-0.0531489179,0.4973425541,0,0.05,true
001b,planted_synthetic_not_live,3,0,0.8705385903,-0.007064724666,-0.009579987929,0.4995210006,1,0.05,true
001b,planted_synthetic_not_live,4,1,-0.4054475277,-0.02685916727,-0.0287291142,0.4985635443,1,0.05,true
001b,planted_synthetic_not_live,5,1,-1.316522276,-0.08894588116,-0.09081582809,0.4954592086,0,0.05,true
001b,planted_synthetic_not_live,6,1,1.130933168,-0.02949367912,-0.03136362606,0.4984318187,0,0.05,true
001b,planted_synthetic_not_live,7,0,-0.02756960862,-0.03011137413,-0.0326266374,0.4983686681,1,0.05,true
001b,planted_synthetic_not_live,8,0,-0.8658593692,-0.07195427521,-0.07446953848,0.4962765231,0,0.05,true
001b,planted_synthetic_not_live,9,1,-0.004959729082,-0.07038593759,-0.07225588452,0.4963872058,1,0.05,true
001b,planted_synthetic_not_live,10,0,1.408751561,0.005040246098,0.002524982835,0.5001262491,1,0.05,true
001b,planted_synthetic_not_live,11,1,0.8689473727,0.04837924203,0.0465092951,0.5023254648,0,0.05,true
001b,planted_synthetic_not_live,12,1,-0.2322259826,0.03516010199,0.03329015506,0.5016645078,0,0.05,true
001b,planted_synthetic_not_live,13,0,-0.5307649601,0.006253086276,0.003737823013,0.5001868912,0,0.05,true
001b,planted_synthetic_not_live,14,0,0.6513385592,0.04054362293,0.03802835966,0.501901418,0,0.05,true
001b,planted_synthetic_not_live,15,0,1.402625185,0.1095895885,0.1070743252,0.5053537163,0,0.05,true
001b,planted_synthetic_not_live,16,0,-0.4476106422,0.08271839305,0.08020312979,0.5040101565,0,0.05,true
001b,planted_synthetic_not_live,17,1,-0.7723060538,0.03835724595,0.03648729902,0.501824365,1,0.05,true
001b,planted_synthetic_not_live,18,1,1.162475046,0.09676982149,0.09489987456,0.5047449937,0,0.05,true
001b,planted_synthetic_not_live,19,0,0.8755250715,0.138276472,0.1357612088,0.5067880604,0,0.05,true
001b,planted_synthetic_not_live,20,1,0.6710317043,0.1687340932,0.1668641463,0.5083432073,0,0.05,true
001b,planted_synthetic_not_live,21,0,0.04944647884,0.1671474238,0.1646321605,0.508231608,0,0.05,true
001b,planted_synthetic_not_live,22,0,-0.6188675175,0.1267611194,0.1242458562,0.5062122928,1,0.05,true
001b,planted_synthetic_not_live,23,1,-0.6638490297,0.08468219895,0.08281225202,0.5041406126,1,0.05,true
001b,planted_synthetic_not_live,24,0,1.728374088,0.1661499045,0.1636346413,0.5081817321,1,0.05,true
001b,planted_synthetic_not_live,25,1,-1.991154863,0.049349366,0.04747941906,0.502373971,0,0.05,true
001b,planted_synthetic_not_live,26,0,0.732869074,0.08350132513,0.08098606187,0.5040493031,1,0.05,true
001b,planted_synthetic_not_live,27,0,-0.874667555,0.03656375799,0.03404849473,0.5017024247,1,0.05,true
001b,planted_synthetic_not_live,28,0,1.068523547,0.08735450213,0.08483923886,0.5042419619,0,0.05,true
001b,planted_synthetic_not_live,29,1,-1.251301731,0.02097380298,0.01910385604,0.5009551928,1,0.05,true
001b,planted_synthetic_not_live,30,1,1.11584458,0.07393824061,0.07206829368,0.5036034147,0,0.05,true
001b,planted_synthetic_not_live,31,0,-0.174466527,0.06333943897,0.06082417571,0.5030412088,1,0.05,true
001b,planted_synthetic_not_live,32,1,1.379359802,0.1259944374,0.1241244905,0.5062062245,0,0.05,true
